date,ticker,action,weight_before,weight_after,weight_change,estimated_dollars_traded,estimated_fee,long_probability,portfolio_before_trades
2025-01-02,ADBE,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,COST,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,CRM,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,CVS,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,LIN,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999997615814209,100000.0
2025-01-02,MU,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,ORCL,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,SCHW,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,TMUS,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,UNH,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-02-03,ADBE,SELL,0.09171915361041558,0.0,-0.09171915361041558,9935.632791324537,9.935632791324537,0.9999892711639404,108326.69513640444
2025-02-03,AMD,BUY,0.0,0.1,0.1,10832.669513640445,10.832669513640445,0.9999995231628418,108326.69513640444
2025-02-03,AVGO,BUY,0.0,0.1,0.1,10832.669513640445,10.832669513640445,0.9999997615814209,108326.69513640444
2025-02-03,COST,SELL,0.1019539169153784,0.0,-0.1019539169153784,11044.330875654503,11.044330875654504,0.9833300709724426,108326.69513640444
2025-02-03,CRM,BUY,0.09461399851574893,0.1,0.005386001484251071,583.4477407886876,0.5834477407886877,0.9999990463256836,108326.69513640444
2025-02-03,CVS,SELL,0.11816694849142279,0.0,-0.11816694849142279,12800.635004429561,12.800635004429562,0.9998542070388794,108326.69513640444
2025-02-03,DHR,BUY,0.0,0.1,0.1,10832.669513640445,10.832669513640445,0.9999996423721313,108326.69513640444
2025-02-03,LIN,SELL,0.10113652375133203,0.0,-0.10113652375133203,10955.78537556627,10.955785375566272,0.9918345212936401,108326.69513640444
2025-02-03,LMT,BUY,0.0,0.1,0.1,10832.669513640445,10.832669513640445,0.9999996423721313,108326.69513640444
2025-02-03,MU,BUY,0.09495609644502553,0.1,0.0050439035549744715,546.3894026971461,0.5463894026971461,0.9999998807907104,108326.69513640444
2025-02-03,NVDA,BUY,0.0,0.1,0.1,10832.669513640445,10.832669513640445,0.9999998807907104,108326.69513640444
2025-02-03,ORCL,BUY,0.09387872026165214,0.1,0.006121279738347862,663.0980040606584,0.6630980040606583,0.9999997615814209,108326.69513640444
2025-02-03,SCHW,SELL,0.1033490043037225,0.0,-0.1033490043037225,11195.456081860297,11.195456081860296,0.9999567270278931,108326.69513640444
2025-02-03,TMUS,SELL,0.10002201060608074,0.0,-0.10002201060608074,10835.05384985512,10.83505384985512,0.9996486902236938,108326.69513640444
2025-02-03,TSLA,BUY,0.0,0.1,0.1,10832.669513640445,10.832669513640445,0.9999997615814209,108326.69513640444
2025-02-03,UNH,SELL,0.1002036270992214,0.0,-0.1002036270992214,10854.72776433931,10.85472776433931,0.9999978542327881,108326.69513640444
2025-02-03,UPS,BUY,0.0,0.1,0.1,10832.669513640445,10.832669513640445,0.9999996423721313,108326.69513640444
2025-03-04,ACN,BUY,0.0,0.1,0.1,10016.156032379604,10.016156032379604,0.9999998807907104,100161.56032379603
