date,ticker,action,weight_before,weight_after,weight_change,estimated_dollars_traded,estimated_fee,long_probability,portfolio_before_trades
2025-01-02,ADBE,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,COST,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,CRM,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,CVS,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,MU,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,NKE,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999997615814209,100000.0
2025-01-02,ORCL,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,SCHW,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,TMUS,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,UNH,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-02-03,ADBE,SELL,0.09220416568428202,0.0,-0.09220416568428202,9935.63279132453,9.93563279132453,0.9999892711639404,107756.87538180554
2025-02-03,AVGO,BUY,0.0,0.1,0.1,10775.687538180555,10.775687538180556,0.9999997615814209,107756.87538180554
2025-02-03,COST,SELL,0.10249304361917139,0.0,-0.10249304361917139,11044.33012877301,11.04433012877301,0.983329176902771,107756.87538180554
2025-02-03,CRM,BUY,0.09511431879162832,0.1,0.004885681208371684,526.4657411257366,0.5264657411257366,0.9999990463256836,107756.87538180554
2025-02-03,CVS,SELL,0.11879182532970428,0.0,-0.11879182532970428,12800.635918430155,12.800635918430155,0.9998542070388794,107756.87538180554
2025-02-03,DHR,BUY,0.0,0.1,0.1,10775.687538180555,10.775687538180556,0.9999996423721313,107756.87538180554
2025-02-03,LMT,BUY,0.0,0.1,0.1,10775.687538180555,10.775687538180556,0.9999996423721313,107756.87538180554
2025-02-03,MU,BUY,0.09545822551458376,0.1,0.004541774485416247,489.40742723726254,0.48940742723726255,0.9999998807907104,107756.87538180554
2025-02-03,NKE,SELL,0.09638332878725495,0.0,-0.09638332878725495,10385.966349011822,10.385966349011822,0.9998917579650879,107756.87538180554
2025-02-03,NVDA,BUY,0.0,0.1,0.1,10775.687538180555,10.775687538180556,0.9999998807907104,107756.87538180554
2025-02-03,ORCL,BUY,0.09437514362011926,0.1,0.005624856379880749,606.1169479673638,0.6061169479673638,0.9999997615814209,107756.87538180554
2025-02-03,SCHW,SELL,0.10389551517889152,0.0,-0.10389551517889152,11195.4560818603,11.1954560818603,0.9999567270278931,107756.87538180554
2025-02-03,TMUS,SELL,0.10055092829542626,0.0,-0.10055092829542626,10835.053849855112,10.835053849855113,0.9996486902236938,107756.87538180554
2025-02-03,TSLA,BUY,0.0,0.1,0.1,10775.687538180555,10.775687538180556,0.9999997615814209,107756.87538180554
2025-02-03,TXN,BUY,0.0,0.1,0.1,10775.687538180555,10.775687538180556,0.9999995231628418,107756.87538180554
2025-02-03,UNH,SELL,0.10073350517893816,0.0,-0.10073350517893816,10854.727764339303,10.854727764339303,0.9999978542327881,107756.87538180554
2025-02-03,UPS,BUY,0.0,0.1,0.1,10775.687538180555,10.775687538180556,0.9999996423721313,107756.87538180554
2025-03-04,ACN,BUY,0.0,0.1,0.1,10173.471892011243,10.173471892011243,0.9999998807907104,101734.71892011241
